match_number,round,first_team,second_team,pairing_probability,first_advancement_probability,second_advancement_probability,simulation_count,most_likely_advancing_team,most_likely_advancement_probability
79,round_of_32,Mexico,Saudi Arabia,0.054,0.8494942489588053,0.1505057510411946,108,Mexico,0.8494942489588053
79,round_of_32,Mexico,Scotland,0.049,0.6621498005224206,0.3378501994775794,98,Mexico,0.6621498005224206
79,round_of_32,South Korea,Cape Verde,0.048,0.788015274164386,0.211984725835614,96,South Korea,0.788015274164386
79,round_of_32,South Korea,Uruguay,0.042,0.4391951388213507,0.5608048611786494,84,Uruguay,0.5608048611786494
79,round_of_32,South Korea,Saudi Arabia,0.0385,0.7654439761363262,0.2345560238636738,77,South Korea,0.7654439761363262
79,round_of_32,Mexico,Haiti,0.038,0.834902691539221,0.1650973084607789,76,Mexico,0.834902691539221
79,round_of_32,Mexico,Brazil,0.037,0.3779947234879577,0.6220052765120423,74,Brazil,0.6220052765120423
79,round_of_32,South Korea,Scotland,0.035,0.5229920077512339,0.4770079922487661,70,South Korea,0.5229920077512339
79,round_of_32,South Korea,Brazil,0.03,0.2593638962063531,0.7406361037936469,60,Brazil,0.7406361037936469
79,round_of_32,Mexico,Germany,0.0285,0.3923201644078186,0.6076798355921814,57,Germany,0.6076798355921814
79,round_of_32,South Korea,Haiti,0.0275,0.751035286814705,0.248964713185295,55,South Korea,0.751035286814705
79,round_of_32,Mexico,Morocco,0.0205,0.423538990697004,0.576461009302996,41,Morocco,0.576461009302996
79,round_of_32,Mexico,Ivory Coast,0.0175,0.6042495339709844,0.3957504660290156,35,Mexico,0.6042495339709844
79,round_of_32,South Korea,Curaçao,0.0175,0.8552260078538646,0.1447739921461354,35,South Korea,0.8552260078538646
79,round_of_32,South Korea,Morocco,0.0175,0.2853989068100957,0.7146010931899043,35,Morocco,0.7146010931899043
79,round_of_32,South Korea,Spain,0.0175,0.14506762004103,0.85493237995897,35,Spain,0.85493237995897
79,round_of_32,Mexico,Spain,0.017,0.2272840583306689,0.7727159416693311,34,Spain,0.7727159416693311
79,round_of_32,South Korea,Germany,0.017,0.2644976020596729,0.7355023979403271,34,Germany,0.7355023979403271
79,round_of_32,Mexico,Curaçao,0.0155,0.905175810210468,0.094824189789532,31,Mexico,0.905175810210468
79,round_of_32,South Korea,Ivory Coast,0.015,0.4585087918393093,0.5414912081606906,30,Ivory Coast,0.5414912081606906
79,round_of_32,Czech Republic,Ecuador,0.0115,0.3113785811232219,0.6886214188767781,23,Ecuador,0.6886214188767781
79,round_of_32,Czech Republic,Uruguay,0.0115,0.3804559257302244,0.6195440742697755,23,Uruguay,0.6195440742697755
79,round_of_32,South Africa,Cape Verde,0.0075,0.5210862183245312,0.4789137816754688,15,South Africa,0.5210862183245312
79,round_of_32,Mexico,Norway,0.007,0.4441436045502537,0.5558563954497463,14,Norway,0.5558563954497463
79,round_of_32,South Korea,France,0.007,0.2129585792755789,0.7870414207244211,14,France,0.7870414207244211
79,round_of_32,Czech Republic,Saudi Arabia,0.0065,0.7183788733777502,0.2816211266222498,13,Czech Republic,0.7183788733777502
79,round_of_32,South Africa,Uruguay,0.006,0.1962524809977979,0.8037475190022021,12,Uruguay,0.8037475190022021
79,round_of_32,Czech Republic,Cape Verde,0.0055,0.7449083958849341,0.2550916041150659,11,Czech Republic,0.7449083958849341
79,round_of_32,Mexico,Senegal,0.0055,0.6035669214969015,0.3964330785030985,11,Mexico,0.6035669214969015
79,round_of_32,South Korea,Iraq,0.0055,0.7337111870096128,0.2662888129903872,11,South Korea,0.7337111870096128
79,round_of_32,South Korea,Norway,0.0055,0.306127596358775,0.6938724036412249,11,Norway,0.6938724036412249
79,round_of_32,Czech Republic,Haiti,0.005,0.7031475963716128,0.2968524036283871,10,Czech Republic,0.7031475963716128
79,round_of_32,Mexico,Sweden,0.005,0.6992228049077951,0.3007771950922049,10,Mexico,0.6992228049077951
79,round_of_32,Mexico,France,0.0045,0.3186712933579968,0.6813287066420032,9,France,0.6813287066420032
79,round_of_32,Mexico,Iraq,0.0045,0.8271796542444828,0.1728203457555172,9,Mexico,0.8271796542444828
79,round_of_32,Czech Republic,Brazil,0.004,0.2177166250317015,0.7822833749682985,8,Brazil,0.7822833749682985
79,round_of_32,Czech Republic,Germany,0.004,0.2179312870722893,0.7820687129277106,8,Germany,0.7820687129277106
79,round_of_32,Czech Republic,Scotland,0.004,0.4601327560886213,0.5398672439113786,8,Scotland,0.5398672439113786
79,round_of_32,South Africa,Ecuador,0.004,0.1547036421780838,0.8452963578219161,8,Ecuador,0.8452963578219161
79,round_of_32,Czech Republic,Morocco,0.003,0.2336014089553605,0.7663985910446395,6,Morocco,0.7663985910446395
79,round_of_32,South Africa,Spain,0.003,0.0611023415650401,0.93889765843496,6,Spain,0.93889765843496
79,round_of_32,South Africa,Scotland,0.0025,0.2463246637157846,0.7536753362842155,5,Scotland,0.7536753362842155
79,round_of_32,South Korea,Sweden,0.0025,0.5659380737713113,0.4340619262286886,5,South Korea,0.5659380737713113
79,round_of_32,South Africa,Germany,0.002,0.1052128474550181,0.8947871525449819,4,Germany,0.8947871525449819
79,round_of_32,South Korea,Senegal,0.002,0.4579903818242891,0.5420096181757109,4,Senegal,0.5420096181757109
79,round_of_32,Czech Republic,France,0.0015,0.1768845483858758,0.8231154516141241,3,France,0.8231154516141241
79,round_of_32,South Africa,Brazil,0.0015,0.1122467956917574,0.8877532043082426,3,Brazil,0.8877532043082426
79,round_of_32,South Africa,Ivory Coast,0.0015,0.1974427126084341,0.8025572873915658,3,Ivory Coast,0.8025572873915658
79,round_of_32,South Africa,Morocco,0.0015,0.1044469791140646,0.8955530208859354,3,Morocco,0.8955530208859354
79,round_of_32,South Korea,Netherlands,0.0015,0.3019081399678917,0.6980918600321082,3,Netherlands,0.6980918600321082
79,round_of_32,Czech Republic,Curaçao,0.001,0.8246889058137667,0.1753110941862332,2,Czech Republic,0.8246889058137667
79,round_of_32,Czech Republic,Iraq,0.001,0.6824766044899802,0.3175233955100198,2,Czech Republic,0.6824766044899802
79,round_of_32,Czech Republic,Spain,0.001,0.1179037121470512,0.8820962878529488,2,Spain,0.8820962878529488
79,round_of_32,South Africa,Saudi Arabia,0.001,0.4828129338577848,0.5171870661422152,2,Saudi Arabia,0.5171870661422152
79,round_of_32,South Korea,Japan,0.001,0.2940130228598343,0.7059869771401657,2,Japan,0.7059869771401657
